sample_id,signature,cluster
GSM903307,Metastatic,G1
GSM903309,Metastatic,G1
GSM903313,Metastatic,G1
GSM903314,Metastatic,G1
GSM903318,Metastatic,G1
GSM903327,Metastatic,G1
GSM903330,Metastatic,G1
GSM903332,Metastatic,G1
GSM903333,Metastatic,G1
GSM903336,Metastatic,G1
GSM903337,Metastatic,G1
GSM903338,Metastatic,G1
GSM903339,Metastatic,G1
GSM903340,Metastatic,G1
GSM903343,Metastatic,G1
GSM903353,Metastatic,G1
GSM903355,Metastatic,G1
GSM903365,Metastatic,G1
GSM903368,Metastatic,G1
GSM903369,Metastatic,G1
GSM903376,Metastatic,G1
GSM903378,Metastatic,G1
GSM903379,Metastatic,G1
GSM903380,Metastatic,G1
GSM903386,Metastatic,G1
GSM903391,Metastatic,G1
GSM903394,Metastatic,G1
GSM903395,Metastatic,G1
GSM903399,Metastatic,G1
GSM903401,Metastatic,G1
GSM903403,Metastatic,G1
GSM903404,Metastatic,G1
GSM903407,Metastatic,G1
GSM903408,Metastatic,G1
GSM903412,Metastatic,G1
GSM903416,Metastatic,G1
GSM903418,Metastatic,G1
GSM903419,Metastatic,G1
GSM903420,Metastatic,G1
GSM903422,Metastatic,G1
GSM903427,Metastatic,G1
GSM903433,Metastatic,G1
GSM903434,Metastatic,G1
GSM903435,Metastatic,G1
GSM903438,Metastatic,G1
GSM903440,Metastatic,G1
GSM903449,Metastatic,G1
GSM903455,Metastatic,G1
GSM903457,Metastatic,G1
GSM903461,Metastatic,G1
GSM903464,Metastatic,G1
GSM903466,Metastatic,G1
GSM903467,Metastatic,G1
GSM903470,Metastatic,G1
GSM903473,Metastatic,G1
GSM903476,Metastatic,G1
GSM903477,Metastatic,G1
GSM903478,Metastatic,G1
GSM903480,Metastatic,G1
GSM903484,Metastatic,G1
GSM903494,Metastatic,G1
GSM903495,Metastatic,G1
GSM903500,Metastatic,G1
GSM903505,Metastatic,G1
GSM903515,Metastatic,G1
GSM903517,Metastatic,G1
GSM903519,Metastatic,G1
GSM903521,Metastatic,G1
GSM903524,Metastatic,G1
GSM903525,Metastatic,G1
GSM903529,Metastatic,G1
GSM903531,Metastatic,G1
GSM903533,Metastatic,G1
GSM903537,Metastatic,G1
GSM903541,Metastatic,G1
GSM903543,Metastatic,G1
GSM903544,Metastatic,G1
GSM903546,Metastatic,G1
GSM903548,Metastatic,G1
GSM903549,Metastatic,G1
GSM903550,Metastatic,G1
GSM903554,Metastatic,G1
GSM903556,Metastatic,G1
GSM903557,Metastatic,G1
GSM903560,Metastatic,G1
GSM903561,Metastatic,G1
GSM903562,Metastatic,G1
GSM903563,Metastatic,G1
GSM903576,Metastatic,G1
GSM903577,Metastatic,G1
GSM903579,Metastatic,G1
GSM903580,Metastatic,G1
GSM903582,Metastatic,G1
GSM903583,Metastatic,G1
GSM903589,Metastatic,G1
GSM903592,Metastatic,G1
GSM903593,Metastatic,G1
GSM903599,Metastatic,G1
GSM903603,Metastatic,G1
GSM903607,Metastatic,G1
GSM903609,Metastatic,G1
GSM903611,Metastatic,G1
GSM903618,Metastatic,G1
GSM903622,Metastatic,G1
GSM903625,Metastatic,G1
GSM903627,Metastatic,G1
GSM903628,Metastatic,G1
GSM903635,Metastatic,G1
GSM903648,Metastatic,G1
GSM903649,Metastatic,G1
GSM903650,Metastatic,G1
GSM903655,Metastatic,G1
GSM903308,Metastatic,G2
GSM903317,Metastatic,G2
GSM903329,Metastatic,G2
GSM903344,Metastatic,G2
GSM903350,Metastatic,G2
GSM903352,Metastatic,G2
GSM903358,Metastatic,G2
GSM903367,Metastatic,G2
GSM903371,Metastatic,G2
GSM903381,Metastatic,G2
GSM903383,Metastatic,G2
GSM903387,Metastatic,G2
GSM903390,Metastatic,G2
GSM903396,Metastatic,G2
GSM903405,Metastatic,G2
GSM903413,Metastatic,G2
GSM903414,Metastatic,G2
GSM903445,Metastatic,G2
GSM903458,Metastatic,G2
GSM903463,Metastatic,G2
GSM903481,Metastatic,G2
GSM903482,Metastatic,G2
GSM903491,Metastatic,G2
GSM903501,Metastatic,G2
GSM903506,Metastatic,G2
GSM903536,Metastatic,G2
GSM903551,Metastatic,G2
GSM903564,Metastatic,G2
GSM903567,Metastatic,G2
GSM903569,Metastatic,G2
GSM903571,Metastatic,G2
GSM903581,Metastatic,G2
GSM903590,Metastatic,G2
GSM903596,Metastatic,G2
GSM903598,Metastatic,G2
GSM903600,Metastatic,G2
GSM903615,Metastatic,G2
GSM903619,Metastatic,G2
GSM903624,Metastatic,G2
GSM903626,Metastatic,G2
GSM903634,Metastatic,G2
GSM903643,Metastatic,G2
GSM903644,Metastatic,G2
GSM903646,Metastatic,G2
GSM903654,Metastatic,G2
GSM903310,Metastatic,G3
GSM903311,Metastatic,G3
GSM903312,Metastatic,G3
GSM903315,Metastatic,G3
GSM903316,Metastatic,G3
GSM903319,Metastatic,G3
GSM903321,Metastatic,G3
GSM903322,Metastatic,G3
GSM903323,Metastatic,G3
GSM903324,Metastatic,G3
GSM903334,Metastatic,G3
GSM903335,Metastatic,G3
GSM903345,Metastatic,G3
GSM903346,Metastatic,G3
GSM903347,Metastatic,G3
GSM903354,Metastatic,G3
GSM903357,Metastatic,G3
GSM903362,Metastatic,G3
GSM903363,Metastatic,G3
GSM903364,Metastatic,G3
GSM903366,Metastatic,G3
GSM903370,Metastatic,G3
GSM903372,Metastatic,G3
GSM903373,Metastatic,G3
GSM903374,Metastatic,G3
GSM903377,Metastatic,G3
GSM903384,Metastatic,G3
GSM903388,Metastatic,G3
GSM903392,Metastatic,G3
GSM903393,Metastatic,G3
GSM903397,Metastatic,G3
GSM903400,Metastatic,G3
GSM903406,Metastatic,G3
GSM903410,Metastatic,G3
GSM903423,Metastatic,G3
GSM903424,Metastatic,G3
GSM903426,Metastatic,G3
GSM903430,Metastatic,G3
GSM903431,Metastatic,G3
GSM903432,Metastatic,G3
GSM903437,Metastatic,G3
GSM903439,Metastatic,G3
GSM903442,Metastatic,G3
GSM903446,Metastatic,G3
GSM903447,Metastatic,G3
GSM903448,Metastatic,G3
GSM903451,Metastatic,G3
GSM903452,Metastatic,G3
GSM903459,Metastatic,G3
GSM903460,Metastatic,G3
GSM903462,Metastatic,G3
GSM903465,Metastatic,G3
GSM903468,Metastatic,G3
GSM903469,Metastatic,G3
GSM903471,Metastatic,G3
GSM903472,Metastatic,G3
GSM903474,Metastatic,G3
GSM903475,Metastatic,G3
GSM903483,Metastatic,G3
GSM903486,Metastatic,G3
GSM903488,Metastatic,G3
GSM903492,Metastatic,G3
GSM903498,Metastatic,G3
GSM903502,Metastatic,G3
GSM903503,Metastatic,G3
GSM903507,Metastatic,G3
GSM903508,Metastatic,G3
GSM903509,Metastatic,G3
GSM903511,Metastatic,G3
GSM903512,Metastatic,G3
GSM903513,Metastatic,G3
GSM903514,Metastatic,G3
GSM903516,Metastatic,G3
GSM903518,Metastatic,G3
GSM903526,Metastatic,G3
GSM903530,Metastatic,G3
GSM903535,Metastatic,G3
GSM903538,Metastatic,G3
GSM903539,Metastatic,G3
GSM903542,Metastatic,G3
GSM903547,Metastatic,G3
GSM903553,Metastatic,G3
GSM903555,Metastatic,G3
GSM903558,Metastatic,G3
GSM903566,Metastatic,G3
GSM903574,Metastatic,G3
GSM903575,Metastatic,G3
GSM903587,Metastatic,G3
GSM903588,Metastatic,G3
GSM903595,Metastatic,G3
GSM903601,Metastatic,G3
GSM903602,Metastatic,G3
GSM903605,Metastatic,G3
GSM903606,Metastatic,G3
GSM903608,Metastatic,G3
GSM903612,Metastatic,G3
GSM903613,Metastatic,G3
GSM903616,Metastatic,G3
GSM903617,Metastatic,G3
GSM903621,Metastatic,G3
GSM903623,Metastatic,G3
GSM903629,Metastatic,G3
GSM903630,Metastatic,G3
GSM903631,Metastatic,G3
GSM903637,Metastatic,G3
GSM903638,Metastatic,G3
GSM903640,Metastatic,G3
GSM903641,Metastatic,G3
GSM903652,Metastatic,G3
