sample_id,signature,cluster
TCGA-A6-2674-01,"Primary (KRAS WT, MSS, LS)",G1
TCGA-AA-3517-01,"Primary (KRAS WT, MSS, LS)",G2
TCGA-AA-3519-01,"Primary (KRAS WT, MSS, LS)",G2
TCGA-AA-3524-01,"Primary (KRAS WT, MSS, LS)",G1
TCGA-AA-3526-01,"Primary (KRAS WT, MSS, LS)",G1
TCGA-AA-3531-01,"Primary (KRAS WT, MSS, LS)",G2
TCGA-AA-3544-01,"Primary (KRAS WT, MSS, LS)",G1
TCGA-AA-3553-01,"Primary (KRAS WT, MSS, LS)",G1
TCGA-AA-A00F-01,"Primary (KRAS WT, MSS, LS)",G2
TCGA-AA-A00Z-01,"Primary (KRAS WT, MSS, LS)",G1
TCGA-AA-A004-01,"Primary (KRAS WT, MSS, LS)",G1
TCGA-AA-A017-01,"Primary (KRAS WT, MSS, LS)",G2
TCGA-AA-A024-01,"Primary (KRAS WT, MSS, LS)",G1
TCGA-AA-A02F-01,"Primary (KRAS WT, MSS, LS)",G2
TCGA-AA-A02H-01,"Primary (KRAS WT, MSS, LS)",G2
TCGA-AA-A02J-01,"Primary (KRAS WT, MSS, LS)",G1
TCGA-AA-3667-01,"Primary (KRAS WT, MSS, LS)",G2
TCGA-AA-3678-01,"Primary (KRAS WT, MSS, LS)",G1
TCGA-AA-3679-01,"Primary (KRAS WT, MSS, LS)",G2
TCGA-AA-3685-01,"Primary (KRAS WT, MSS, LS)",G2
TCGA-AA-3688-01,"Primary (KRAS WT, MSS, LS)",G2
TCGA-AA-3692-01,"Primary (KRAS WT, MSS, LS)",G1
TCGA-AA-3693-01,"Primary (KRAS WT, MSS, LS)",G2
TCGA-AA-3812-01,"Primary (KRAS WT, MSS, LS)",G2
TCGA-AA-3819-01,"Primary (KRAS WT, MSS, LS)",G1
TCGA-AA-3856-01,"Primary (KRAS WT, MSS, LS)",G1
TCGA-AA-3858-01,"Primary (KRAS WT, MSS, LS)",G1
TCGA-A6-3807-01,"Primary (KRAS WT, MSS, LS)",G2
TCGA-AA-3855-01,"Primary (KRAS WT, MSS, LS)",G2
TCGA-AA-3872-01,"Primary (KRAS WT, MSS, LS)",G1
TCGA-AA-3952-01,"Primary (KRAS WT, MSS, LS)",G1
TCGA-AA-3955-01,"Primary (KRAS WT, MSS, LS)",G2
TCGA-AA-3972-01,"Primary (KRAS WT, MSS, LS)",G2
TCGA-AA-3973-01,"Primary (KRAS WT, MSS, LS)",G2
TCGA-AA-3982-01,"Primary (KRAS WT, MSS, LS)",G1
TCGA-AA-3984-01,"Primary (KRAS WT, MSS, LS)",G1
TCGA-AF-3400-01,"Primary (KRAS WT, MSS, LS)",G1
TCGA-AF-3913-01,"Primary (KRAS WT, MSS, LS)",G1
TCGA-AA-3529-01,"Primary (KRAS WT, MSS, LS)",G1
TCGA-AA-3831-01,"Primary (KRAS WT, MSS, LS)",G1
