sample_id,signature,cluster
GSM903307,Metastatic,G1
GSM903308,Metastatic,G2
GSM903309,Metastatic,G1
GSM903310,Metastatic,G3
GSM903312,Metastatic,G3
GSM903313,Metastatic,G1
GSM903314,Metastatic,G1
GSM903318,Metastatic,G1
GSM903322,Metastatic,G3
GSM903323,Metastatic,G3
GSM903327,Metastatic,G1
GSM903329,Metastatic,G2
GSM903330,Metastatic,G1
GSM903332,Metastatic,G1
GSM903333,Metastatic,G1
GSM903336,Metastatic,G1
GSM903337,Metastatic,G1
GSM903338,Metastatic,G1
GSM903339,Metastatic,G1
GSM903340,Metastatic,G1
GSM903343,Metastatic,G1
GSM903344,Metastatic,G2
GSM903350,Metastatic,G2
GSM903352,Metastatic,G2
GSM903353,Metastatic,G1
GSM903355,Metastatic,G1
GSM903357,Metastatic,G3
GSM903358,Metastatic,G2
GSM903362,Metastatic,G3
GSM903365,Metastatic,G1
GSM903367,Metastatic,G2
GSM903368,Metastatic,G1
GSM903369,Metastatic,G1
GSM903370,Metastatic,G3
GSM903371,Metastatic,G2
GSM903374,Metastatic,G3
GSM903376,Metastatic,G1
GSM903378,Metastatic,G1
GSM903379,Metastatic,G1
GSM903380,Metastatic,G1
GSM903381,Metastatic,G2
GSM903383,Metastatic,G2
GSM903386,Metastatic,G1
GSM903387,Metastatic,G2
GSM903390,Metastatic,G2
GSM903391,Metastatic,G1
GSM903394,Metastatic,G1
GSM903395,Metastatic,G1
GSM903396,Metastatic,G2
GSM903399,Metastatic,G1
GSM903401,Metastatic,G1
GSM903403,Metastatic,G1
GSM903404,Metastatic,G1
GSM903405,Metastatic,G2
GSM903407,Metastatic,G1
GSM903412,Metastatic,G1
GSM903413,Metastatic,G2
GSM903414,Metastatic,G2
GSM903416,Metastatic,G1
GSM903418,Metastatic,G1
GSM903419,Metastatic,G1
GSM903420,Metastatic,G1
GSM903422,Metastatic,G1
GSM903423,Metastatic,G3
GSM903424,Metastatic,G3
GSM903426,Metastatic,G3
GSM903427,Metastatic,G1
GSM903430,Metastatic,G3
GSM903433,Metastatic,G1
GSM903434,Metastatic,G1
GSM903435,Metastatic,G1
GSM903438,Metastatic,G1
GSM903439,Metastatic,G3
GSM903440,Metastatic,G1
GSM903442,Metastatic,G3
GSM903445,Metastatic,G2
GSM903449,Metastatic,G1
GSM903455,Metastatic,G1
GSM903457,Metastatic,G1
GSM903458,Metastatic,G2
GSM903459,Metastatic,G3
GSM903461,Metastatic,G1
GSM903463,Metastatic,G2
GSM903464,Metastatic,G1
GSM903465,Metastatic,G3
GSM903466,Metastatic,G1
GSM903467,Metastatic,G1
GSM903470,Metastatic,G1
GSM903471,Metastatic,G3
GSM903473,Metastatic,G1
GSM903476,Metastatic,G1
GSM903477,Metastatic,G1
GSM903478,Metastatic,G1
GSM903480,Metastatic,G1
GSM903481,Metastatic,G2
GSM903482,Metastatic,G2
GSM903483,Metastatic,G3
GSM903484,Metastatic,G1
GSM903491,Metastatic,G2
GSM903494,Metastatic,G1
GSM903495,Metastatic,G1
GSM903505,Metastatic,G1
GSM903506,Metastatic,G2
GSM903508,Metastatic,G3
GSM903509,Metastatic,G3
GSM903511,Metastatic,G3
GSM903514,Metastatic,G3
GSM903515,Metastatic,G1
GSM903517,Metastatic,G1
GSM903519,Metastatic,G1
GSM903521,Metastatic,G1
GSM903524,Metastatic,G1
GSM903525,Metastatic,G1
GSM903529,Metastatic,G1
GSM903531,Metastatic,G1
GSM903533,Metastatic,G1
GSM903536,Metastatic,G2
GSM903537,Metastatic,G1
GSM903541,Metastatic,G1
GSM903543,Metastatic,G1
GSM903544,Metastatic,G1
GSM903546,Metastatic,G1
GSM903547,Metastatic,G3
GSM903548,Metastatic,G1
GSM903549,Metastatic,G1
GSM903550,Metastatic,G1
GSM903551,Metastatic,G2
GSM903554,Metastatic,G1
GSM903555,Metastatic,G3
GSM903556,Metastatic,G1
GSM903557,Metastatic,G1
GSM903560,Metastatic,G1
GSM903561,Metastatic,G1
GSM903562,Metastatic,G1
GSM903563,Metastatic,G1
GSM903564,Metastatic,G2
GSM903566,Metastatic,G3
GSM903567,Metastatic,G2
GSM903569,Metastatic,G2
GSM903571,Metastatic,G2
GSM903576,Metastatic,G1
GSM903577,Metastatic,G1
GSM903579,Metastatic,G1
GSM903580,Metastatic,G1
GSM903581,Metastatic,G2
GSM903582,Metastatic,G1
GSM903583,Metastatic,G1
GSM903587,Metastatic,G3
GSM903588,Metastatic,G3
GSM903589,Metastatic,G1
GSM903590,Metastatic,G2
GSM903592,Metastatic,G1
GSM903593,Metastatic,G1
GSM903596,Metastatic,G2
GSM903598,Metastatic,G2
GSM903599,Metastatic,G1
GSM903600,Metastatic,G2
GSM903603,Metastatic,G1
GSM903605,Metastatic,G3
GSM903607,Metastatic,G1
GSM903608,Metastatic,G3
GSM903609,Metastatic,G1
GSM903611,Metastatic,G1
GSM903615,Metastatic,G2
GSM903619,Metastatic,G2
GSM903622,Metastatic,G1
GSM903624,Metastatic,G2
GSM903625,Metastatic,G1
GSM903626,Metastatic,G2
GSM903627,Metastatic,G1
GSM903628,Metastatic,G1
GSM903630,Metastatic,G3
GSM903634,Metastatic,G2
GSM903635,Metastatic,G1
GSM903641,Metastatic,G3
GSM903643,Metastatic,G2
GSM903644,Metastatic,G2
GSM903646,Metastatic,G2
GSM903648,Metastatic,G1
GSM903649,Metastatic,G1
GSM903650,Metastatic,G1
GSM903652,Metastatic,G3
GSM903654,Metastatic,G2
GSM903655,Metastatic,G1
