sample_id,signature,cluster
TCGA-3L-AA1B-01,Primary,G1
TCGA-4T-AA8H-01,Primary,G1
TCGA-5M-AAT4-01,Primary,G2
TCGA-5M-AATE-01,Primary,G3
TCGA-A6-2671-01,Primary,G2
TCGA-A6-2675-01,Primary,G2
TCGA-A6-2679-01,Primary,G3
TCGA-A6-2680-01,Primary,G4
TCGA-A6-2681-01,Primary,G4
TCGA-A6-2682-01,Primary,G1
TCGA-A6-2683-01,Primary,G4
TCGA-A6-3807-01,Primary,G4
TCGA-A6-3810-01,Primary,G4
TCGA-A6-4105-01,Primary,G5
TCGA-A6-4107-01,Primary,G1
TCGA-A6-5656-01,Primary,G2
TCGA-A6-5659-01,Primary,G3
TCGA-A6-5660-01,Primary,G2
TCGA-A6-5662-01,Primary,G4
TCGA-A6-5666-01,Primary,G5
TCGA-A6-6138-01,Primary,G4
TCGA-A6-6140-01,Primary,G5
TCGA-A6-6649-01,Primary,G1
TCGA-A6-6650-01,Primary,G4
TCGA-A6-6651-01,Primary,G5
TCGA-A6-6653-01,Primary,G1
TCGA-A6-6654-01,Primary,G3
TCGA-A6-6782-01,Primary,G4
TCGA-A6-A567-01,Primary,G4
TCGA-A6-A5ZU-01,Primary,G4
TCGA-AA-3488-01,Primary,G2
TCGA-AA-3494-01,Primary,G2
TCGA-AA-3495-01,Primary,G2
TCGA-AA-3496-01,Primary,G5
TCGA-AA-3502-01,Primary,G1
TCGA-AA-3514-01,Primary,G1
TCGA-AA-3517-01,Primary,G5
TCGA-AA-3519-01,Primary,G5
TCGA-AA-3521-01,Primary,G4
TCGA-AA-3522-01,Primary,G1
TCGA-AA-3524-01,Primary,G5
TCGA-AA-3526-01,Primary,G5
TCGA-AA-3530-01,Primary,G3
TCGA-AA-3531-01,Primary,G5
TCGA-AA-3534-01,Primary,G1
TCGA-AA-3549-01,Primary,G4
TCGA-AA-3553-01,Primary,G2
TCGA-AA-3561-01,Primary,G4
TCGA-AA-3660-01,Primary,G2
TCGA-AA-3663-01,Primary,G1
TCGA-AA-3666-01,Primary,G4
TCGA-AA-3688-01,Primary,G3
TCGA-AA-3692-01,Primary,G2
TCGA-AA-3693-01,Primary,G4
TCGA-AA-3695-01,Primary,G3
TCGA-AA-3696-01,Primary,G1
TCGA-AA-3712-01,Primary,G3
TCGA-AA-3713-01,Primary,G1
TCGA-AA-3715-01,Primary,G1
TCGA-AA-3811-01,Primary,G1
TCGA-AA-3812-01,Primary,G4
TCGA-AA-3819-01,Primary,G5
TCGA-AA-3842-01,Primary,G2
TCGA-AA-3846-01,Primary,G4
TCGA-AA-3851-01,Primary,G2
TCGA-AA-3852-01,Primary,G1
TCGA-AA-3854-01,Primary,G1
TCGA-AA-3855-01,Primary,G5
TCGA-AA-3858-01,Primary,G2
TCGA-AA-3866-01,Primary,G3
TCGA-AA-3867-01,Primary,G2
TCGA-AA-3869-01,Primary,G5
TCGA-AA-3939-01,Primary,G1
TCGA-AA-3955-01,Primary,G5
TCGA-AA-3956-01,Primary,G2
TCGA-AA-3968-01,Primary,G3
TCGA-AA-3971-01,Primary,G3
TCGA-AA-3973-01,Primary,G4
TCGA-AA-3975-01,Primary,G4
TCGA-AA-3979-01,Primary,G2
TCGA-AA-3982-01,Primary,G2
TCGA-AA-A00D-01,Primary,G2
TCGA-AA-A00F-01,Primary,G4
TCGA-AA-A00K-01,Primary,G1
TCGA-AA-A00O-01,Primary,G5
TCGA-AA-A00Q-01,Primary,G5
TCGA-AA-A00R-01,Primary,G1
TCGA-AA-A00U-01,Primary,G2
TCGA-AA-A00W-01,Primary,G5
TCGA-AA-A00Z-01,Primary,G3
TCGA-AA-A017-01,Primary,G5
TCGA-AA-A01C-01,Primary,G3
TCGA-AA-A01F-01,Primary,G5
TCGA-AA-A01G-01,Primary,G2
TCGA-AA-A01K-01,Primary,G2
TCGA-AA-A01S-01,Primary,G2
TCGA-AA-A01Z-01,Primary,G2
TCGA-AA-A022-01,Primary,G1
TCGA-AA-A029-01,Primary,G1
TCGA-AA-A02F-01,Primary,G4
TCGA-AA-A02J-01,Primary,G2
TCGA-AA-A02O-01,Primary,G1
TCGA-AA-A02W-01,Primary,G2
TCGA-AA-A03J-01,Primary,G5
TCGA-AD-5900-01,Primary,G1
TCGA-AD-6888-01,Primary,G5
TCGA-AD-6901-01,Primary,G4
TCGA-AD-6963-01,Primary,G5
TCGA-AD-6965-01,Primary,G2
TCGA-AD-A5EK-01,Primary,G3
TCGA-AF-2687-01,Primary,G3
TCGA-AF-2690-01,Primary,G2
TCGA-AF-2693-01,Primary,G3
TCGA-AF-4110-01,Primary,G4
TCGA-AF-6136-01,Primary,G4
TCGA-AF-6655-01,Primary,G2
TCGA-AF-6672-01,Primary,G2
TCGA-AF-A56K-01,Primary,G5
TCGA-AF-A56N-01,Primary,G5
TCGA-AG-3574-01,Primary,G5
TCGA-AG-3578-01,Primary,G2
TCGA-AG-3581-01,Primary,G5
TCGA-AG-3582-01,Primary,G2
TCGA-AG-3583-01,Primary,G4
TCGA-AG-3584-01,Primary,G2
TCGA-AG-3587-01,Primary,G2
TCGA-AG-3591-01,Primary,G2
TCGA-AG-3593-01,Primary,G5
TCGA-AG-3599-01,Primary,G3
TCGA-AG-3602-01,Primary,G4
TCGA-AG-3608-01,Primary,G5
TCGA-AG-3609-01,Primary,G4
TCGA-AG-3725-01,Primary,G4
TCGA-AG-3726-01,Primary,G2
TCGA-AG-3728-01,Primary,G4
TCGA-AG-3731-01,Primary,G1
TCGA-AG-3742-01,Primary,G5
TCGA-AG-3882-01,Primary,G5
TCGA-AG-3885-01,Primary,G4
TCGA-AG-3887-01,Primary,G1
TCGA-AG-3890-01,Primary,G3
TCGA-AG-3893-01,Primary,G4
TCGA-AG-3898-01,Primary,G3
TCGA-AG-3902-01,Primary,G2
TCGA-AG-3999-01,Primary,G2
